Article number;Old article number ;Product name;MA-holder;Active substance;Pharmaceutical form;Strength;Package type;Multiple;Packages ;Packsize;Unit; PPP ; PRP ; Stepped price ; Reimbursed price ;Prescription group;Storage;Substitution group;Limited substitution;MA-number;ATC-code;Reimbursed;Date PPP;Marketing status package;MA-status
000005;;Risperdal;Janssen-Cilag AS;Risperidon;Tablett, filmdrasjert;0,5 mg;Blisterpakning;;;20;stk;22.34;64.7;64.7;64.7;C;Rom (15-25 grader);001498;Nei;1998-04328;N05AX08;Ja;01.01.2019;Markedsført;Markedsført
000054;;NeoRecormon;Roche Registration GmbH;Epoetin beta;Injeksjonsvæske, oppløsning i ferdigfylt sprøyte;4 000 IE;Ferdigfylt sprøyte;;6;0.3;ml;1654.52;2156.1;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/97/031/042;B03XA01;Ja;01.08.2010;Midlertidig utgått;Midlertidig utgått
000140;;Minirin;Ferring Legemidler AS;Desmopressinacetat;Tablett;0,2 mg;Boks av plast;;;15;stk;141.4;216.5;0;216.5;C;Rom (15-25 grader);000340;Nei;0000-07424;H01BA02;Ja;01.12.2018;Midlertidig utgått;Midlertidig utgått
000145;;NeoRecormon;Roche Registration GmbH;Epoetin beta;Injeksjonsvæske, oppløsning i ferdigfylt sprøyte;6 000 IE;Ferdigfylt sprøyte;;6;0.3;ml;2485.59;3220.9;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;EU/1/97/031/044;B03XA01;Ja;01.08.2010;Midlertidig utgått;Midlertidig utgått
000159;;Zyprexa Velotab;Eli Lilly Nederland BV;Olanzapin;Smeltetablett;5 mg;Blisterpakning;;;28;stk;156.84;236.2;107.6;107.6;C;Rom (15-25 grader);000810;Nei;EU/1/99/125/001;N05AH03;Ja;01.01.2019;Markedsført;Markedsført
000184;;Zyprexa Velotab;Eli Lilly Nederland BV;Olanzapin;Smeltetablett;15 mg;Blisterpakning;;;28;stk;500.71;674.7;260.5;260.5;C;Rom (15-25 grader);001539;Nei;EU/1/99/125/003;N05AH03;Ja;01.01.2019;Markedsført;Markedsført
000193;;Zyprexa Velotab;Eli Lilly Nederland BV;Olanzapin;Smeltetablett;20 mg;Blisterpakning;;;28;stk;664.36;883.3;317.2;317.2;C;Rom (15-25 grader);001540;Nei;EU/1/99/125/004;N05AH03;Ja;01.01.2019;Markedsført;Markedsført
000198;;Zyprexa Velotab;Eli Lilly Nederland BV;Olanzapin;Smeltetablett;10 mg;Blisterpakning;;;28;stk;261.92;370.2;176.7;176.7;C;Rom (15-25 grader);000811;Nei;EU/1/99/125/002;N05AH03;Ja;01.01.2019;Markedsført;Markedsført
000223;;Tractocile;Ferring Legemidler AS;Atosiban;Injeksjonsvæske, oppløsning;6,75 mg/0,9 ml;Hetteglass;;1;0.9;ml;254.07;361.8;0;0;C;Kaldt (2-8 grader);001960;Nei;EU/1/99/124/001;G02CX01;Nei;01.08.2016;Markedsført;Markedsført
000237;;Tractocile;Ferring Legemidler AS;Atosiban;Konsentrat til infusjonsvæske, oppløsning;37,5 mg/5 ml;Hetteglass;;1;5;ml;776.94;1031.7;0;0;C;Kaldt (2-8 grader);001959;Nei;EU/1/99/124/002;G02CX01;Nei;07.12.2016;Markedsført;Markedsført
000448;;Elocon;Merck Sharp & Dohme B.V.;Mometasonfuroat;Liniment, oppløsning;0,1 % w/v;Flaske;;;100;ml;117.61;186.2;0;186.2;C;Rom (15-25 grader);002034;Nei;0000-07621;D07AC13;Ja;01.08.2012;Markedsført;Markedsført
000493;;Act-Hib;Sanofi Pasteur Europe;Haemophilus influensae type b polysakkarid konjugert med tetanustoksoid;Pulver og væske til injeksjonsvæske, oppløsning;10 mikrog;sett;;;;;103.09;168.3;0;0;C;Kaldt (2-8 grader);;<ikke angitt>;0000-07985;J07AG01;Nei;18.09.2001;Markedsført;Kan prisbehandles
000494;;Selo-Zok;AstraZeneca;Metoprololsuksinat;Depottablett;25 mg;Kalenderpakning;;;14;stk;15.52;56;50;50;C;Rom (15-25 grader);001322;Nei;1999-06713;C07AB02;Ja;01.08.2018;Markedsført;Midlertidig utgått
000503;;Selo-Zok;AstraZeneca;Metoprololsuksinat;Depottablett;25 mg;Kalenderpakning;;;28;stk;31.03;75.8;59.5;59.5;C;Rom (15-25 grader);001322;Nei;1999-06713;C07AB02;Ja;01.08.2018;Markedsført;Markedsført
000517;;Imacillin;Teva B.V.;Amoksicillintrihydrat;Granulat til mikstur, suspensjon;100 mg/ml;Flaske av glass;;;125;ml;140.2;215;0;215;C;Rom (15-25 grader);000800;Nei;0000-08005;J01CA04;Ja;01.07.2014;Markedsført;Markedsført
000531;;Imacillin;Teva B.V.;Amoksicillintrihydrat;Granulat til mikstur, suspensjon;100 mg/ml;Flaske av glass;;;60;ml;67.3;122.1;0;122.1;C;Rom (15-25 grader);000800;Nei;0000-08005;J01CA04;Ja;01.07.2014;Markedsført;Markedsført
000552;;Caverject Dual;Pfizer AS;Alprostadil;Pulver og væske til injeksjonsvæske, oppløsning;20 mikrog/0,5 ml;Ferdigfylt sprøyte;;2;0.5;ml;205.58;298.4;0;0;C;Rom (15-25 grader);001831;Nei;2001-00455;G04BE01;Nei;01.11.2018;Markedsført;Markedsført
000555;;Topimax;Janssen-Cilag AS;Topiramat;Kapsel, hard;15 mg;Boks av plast;;;60;stk;86;145.9;0;145.9;C;Rom (15-25 grader);;<ikke angitt>;1998-03715;N03AX11;Ja;01.04.2012;Markedsført;Markedsført
000575;;Imacillin;Teva B.V.;Amoksicillintrihydrat;Granulat i dosepose;125 mg;Dosepose;;20;1;dose;76.7;134;0;134;C;Rom (15-25 grader);;<ikke angitt>;0000-06187;J01CA04;Ja;01.07.2014;Midlertidig utgått;Midlertidig utgått
000598;;Topimax;Janssen-Cilag AS;Topiramat;Kapsel, hard;25 mg;Boks av plast;;;60;stk;86;145.9;0;145.9;C;Rom (15-25 grader);001259;Ja;1998-03716;N03AX11;Ja;01.04.2012;Markedsført;Markedsført
000601;;Ibux;Weifa AS;Ibuprofen;Tablett, filmdrasjert;200 mg;Blisterpakning, endose;;50;1;stk;15.43;55.9;0;55.9;C;Rom (15-25 grader);000492;Nei;0000-07067;M01AE01;Ja;01.11.2018;Markedsført;Midlertidig utgått
